Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Dell,Notebook,8.0,,10.964896292206694,0.0,0.0,127.33567457123112,Intel Core i7,1000.0,128.0,AMD,Windows
Lenovo,2 in 1 Convertible,16.0,1.42,11.921470624845266,1.0,0.0,209.8006828649808,Intel Core i7,0.0,1000.0,Intel,Windows
Vero,Notebook,4.0,1.3,9.536242657247662,0.0,1.0,157.3505121487356,Other Intel Processor,0.0,0.0,Intel,Windows
Xiaomi,Ultrabook,8.0,1.3,10.883216300213936,0.0,1.0,165.6321180513006,Intel Core i5,0.0,256.0,Nvidia,Others
Lenovo,Notebook,8.0,2.8,10.523780128994506,0.0,0.0,106.11306214269258,Intel Core i5,0.0,,Nvidia,Others
Dell,2 in 1 Convertible,8.0,1.62,10.70777173269934,1.0,1.0,165.6321180513006,Intel Core i7,1000.0,0.0,Intel,Windows
HP,Notebook,8.0,2.5,10.793391597686284,0.0,1.0,127.33567457123112,Intel Core i5,1000.0,0.0,Nvidia,Windows
Razer,Gaming,32.0,3.49,12.69144112852859,1.0,0.0,254.67134914246225,Intel Core i7,0.0,1000.0,Nvidia,Windows
HP,Notebook,8.0,1.49,10.841452101115571,0.0,,165.6321180513006,Intel Core i5,0.0,512.0,Intel,Windows
HP,Gaming,16.0,3.35,11.204674904025437,0.0,1.0,127.33567457123112,Intel Core i7,,256.0,Nvidia,Windows
HP,Notebook,,2.5,10.927333190631044,0.0,0.0,127.33567457123112,Intel Core i7,0.0,256.0,Nvidia,Windows
Dell,Gaming,16.0,2.65,11.495795582706762,0.0,1.0,282.42399616439724,Intel Core i7,1000.0,,Nvidia,Windows
Lenovo,Notebook,4.0,2.1,10.176070200274824,0.0,,100.45466986113652,Intel Core i5,0.0,,Intel,Windows
Acer,Notebook,8.0,2.23,10.584910269399517,0.0,0.0,141.21199808219862,Intel Core i7,1000.0,,Nvidia,Windows
Lenovo,Gaming,16.0,3.2,11.442360501250736,0.0,1.0,141.21199808219862,Intel Core i7,1000.0,512.0,Nvidia,Windows
